recording_id,clip_idx,path,start,end,label_id,split,label_name,dataset,stft_path,mel_path,demon_path
0_1,0,/datasets/audio/deepship/test/0/0_1.wav,0.0,30.0,0,test,Cargo ship,deepship,outputs/spectrograms/stft/deepship_clip30_ov0.5_45b770b41b/test/0/0_1_c0.png,outputs/spectrograms/mel/deepship_clip30_ov0.5_45b770b41b/test/0/0_1_c0.png,outputs/spectrograms/demon/deepship_clip30_ov0.5_45b770b41b/test/0/0_1_c0.png
0_1,1,/datasets/audio/deepship/test/0/0_1.wav,15.0,45.0,0,test,Cargo ship,deepship,outputs/spectrograms/stft/deepship_clip30_ov0.5_45b770b41b/test/0/0_1_c1.png,outputs/spectrograms/mel/deepship_clip30_ov0.5_45b770b41b/test/0/0_1_c1.png,outputs/spectrograms/demon/deepship_clip30_ov0.5_45b770b41b/test/0/0_1_c1.png
0_1,2,/datasets/audio/deepship/test/0/0_1.wav,30.0,60.0,0,test,Cargo ship,deepship,outputs/spectrograms/stft/deepship_clip30_ov0.5_45b770b41b/test/0/0_1_c2.png,outputs/spectrograms/mel/deepship_clip30_ov0.5_45b770b41b/test/0/0_1_c2.png,outputs/spectrograms/demon/deepship_clip30_ov0.5_45b770b41b/test/0/0_1_c2.png
0_1,3,/datasets/audio/deepship/test/0/0_1.wav,45.0,75.0,0,test,Cargo ship,deepship,outputs/spectrograms/stft/deepship_clip30_ov0.5_45b770b41b/test/0/0_1_c3.png,outputs/spectrograms/mel/deepship_clip30_ov0.5_45b770b41b/test/0/0_1_c3.png,outputs/spectrograms/demon/deepship_clip30_ov0.5_45b770b41b/test/0/0_1_c3.png
0_1,4,/datasets/audio/deepship/test/0/0_1.wav,60.0,90.0,0,test,Cargo ship,deepship,outputs/spectrograms/stft/deepship_clip30_ov0.5_45b770b41b/test/0/0_1_c4.png,outputs/spectrograms/mel/deepship_clip30_ov0.5_45b770b41b/test/0/0_1_c4.png,outputs/spectrograms/demon/deepship_clip30_ov0.5_45b770b41b/test/0/0_1_c4.png
0_1,5,/datasets/audio/deepship/test/0/0_1.wav,75.0,105.0,0,test,Cargo ship,deepship,outputs/spectrograms/stft/deepship_clip30_ov0.5_45b770b41b/test/0/0_1_c5.png,outputs/spectrograms/mel/deepship_clip30_ov0.5_45b770b41b/test/0/0_1_c5.png,outputs/spectrograms/demon/deepship_clip30_ov0.5_45b770b41b/test/0/0_1_c5.png
0_1,6,/datasets/audio/deepship/test/0/0_1.wav,90.0,120.0,0,test,Cargo ship,deepship,outputs/spectrograms/stft/deepship_clip30_ov0.5_45b770b41b/test/0/0_1_c6.png,outputs/spectrograms/mel/deepship_clip30_ov0.5_45b770b41b/test/0/0_1_c6.png,outputs/spectrograms/demon/deepship_clip30_ov0.5_45b770b41b/test/0/0_1_c6.png
0_1,7,/datasets/audio/deepship/test/0/0_1.wav,105.0,135.0,0,test,Cargo ship,deepship,outputs/spectrograms/stft/deepship_clip30_ov0.5_45b770b41b/test/0/0_1_c7.png,outputs/spectrograms/mel/deepship_clip30_ov0.5_45b770b41b/test/0/0_1_c7.png,outputs/spectrograms/demon/deepship_clip30_ov0.5_45b770b41b/test/0/0_1_c7.png
0_1,8,/datasets/audio/deepship/test/0/0_1.wav,120.0,150.0,0,test,Cargo ship,deepship,outputs/spectrograms/stft/deepship_clip30_ov0.5_45b770b41b/test/0/0_1_c8.png,outputs/spectrograms/mel/deepship_clip30_ov0.5_45b770b41b/test/0/0_1_c8.png,outputs/spectrograms/demon/deepship_clip30_ov0.5_45b770b41b/test/0/0_1_c8.png
0_1,9,/datasets/audio/deepship/test/0/0_1.wav,135.0,165.0,0,test,Cargo ship,deepship,outputs/spectrograms/stft/deepship_clip30_ov0.5_45b770b41b/test/0/0_1_c9.png,outputs/spectrograms/mel/deepship_clip30_ov0.5_45b770b41b/test/0/0_1_c9.png,outputs/spectrograms/demon/deepship_clip30_ov0.5_45b770b41b/test/0/0_1_c9.png
0_1,10,/datasets/audio/deepship/test/0/0_1.wav,150.0,180.0,0,test,Cargo ship,deepship,outputs/spectrograms/stft/deepship_clip30_ov0.5_45b770b41b/test/0/0_1_c10.png,outputs/spectrograms/mel/deepship_clip30_ov0.5_45b770b41b/test/0/0_1_c10.png,outputs/spectrograms/demon/deepship_clip30_ov0.5_45b770b41b/test/0/0_1_c10.png
0_1,11,/datasets/audio/deepship/test/0/0_1.wav,165.0,195.0,0,test,Cargo ship,deepship,outputs/spectrograms/stft/deepship_clip30_ov0.5_45b770b41b/test/0/0_1_c11.png,outputs/spectrograms/mel/deepship_clip30_ov0.5_45b770b41b/test/0/0_1_c11.png,outputs/spectrograms/demon/deepship_clip30_ov0.5_45b770b41b/test/0/0_1_c11.png
0_1,12,/datasets/audio/deepship/test/0/0_1.wav,180.0,210.0,0,test,Cargo ship,deepship,outputs/spectrograms/stft/deepship_clip30_ov0.5_45b770b41b/test/0/0_1_c12.png,outputs/spectrograms/mel/deepship_clip30_ov0.5_45b770b41b/test/0/0_1_c12.png,outputs/spectrograms/demon/deepship_clip30_ov0.5_45b770b41b/test/0/0_1_c12.png
0_1,13,/datasets/audio/deepship/test/0/0_1.wav,195.0,225.0,0,test,Cargo ship,deepship,outputs/spectrograms/stft/deepship_clip30_ov0.5_45b770b41b/test/0/0_1_c13.png,outputs/spectrograms/mel/deepship_clip30_ov0.5_45b770b41b/test/0/0_1_c13.png,outputs/spectrograms/demon/deepship_clip30_ov0.5_45b770b41b/test/0/0_1_c13.png
0_1,14,/datasets/audio/deepship/test/0/0_1.wav,210.0,240.0,0,test,Cargo ship,deepship,outputs/spectrograms/stft/deepship_clip30_ov0.5_45b770b41b/test/0/0_1_c14.png,outputs/spectrograms/mel/deepship_clip30_ov0.5_45b770b41b/test/0/0_1_c14.png,outputs/spectrograms/demon/deepship_clip30_ov0.5_45b770b41b/test/0/0_1_c14.png
0_1,15,/datasets/audio/deepship/test/0/0_1.wav,225.0,255.0,0,test,Cargo ship,deepship,outputs/spectrograms/stft/deepship_clip30_ov0.5_45b770b41b/test/0/0_1_c15.png,outputs/spectrograms/mel/deepship_clip30_ov0.5_45b770b41b/test/0/0_1_c15.png,outputs/spectrograms/demon/deepship_clip30_ov0.5_45b770b41b/test/0/0_1_c15.png
